time_ps,voltage
39.9,0.0872346
9.24116e-13,0.0862544
0.1,0.0852851
0.2,0.0843267
0.3,0.083379
0.4,0.082442
0.5,0.0815154
0.6,0.0805993
0.7,0.0796934
0.8,0.0787977
0.9,0.0779121
1,0.0770364
1.1,0.0761705
1.2,0.0753143
1.3,0.0744678
1.4,0.0736307
1.5,0.0728031
1.6,0.0719847
1.7,0.0711755
1.8,0.0703754
1.9,0.0695843
2,0.0688021
2.1,0.0680286
2.2,0.0672639
2.3,0.0665077
2.4,0.06576
2.5,0.0650207
2.6,0.0642898
2.7,0.063567
2.8,0.0628523
2.9,0.0621457
3,0.061447
3.1,0.0607562
3.2,0.0600731
3.3,0.0593977
3.4,0.0587299
3.5,0.0580696
3.6,0.0574167
3.7,0.0567711
3.8,0.0561328
3.9,0.0555017
4,0.0548776
4.1,0.0542606
4.2,0.0536505
4.3,0.0530473
4.4,0.0524508
4.5,0.0518611
4.6,0.0512779
4.7,0.0507013
4.8,0.0501313
4.9,0.0495676
5,0.0490102
5.1,0.0484591
5.2,0.0479142
5.3,0.0473755
5.4,0.0468427
5.5,0.046316
5.6,0.0457952
5.7,0.0452803
5.8,0.0447711
5.9,0.0442677
6,0.0437699
6.1,0.0432777
6.2,0.042791
6.3,0.0423099
6.4,0.0418341
6.5,0.0413637
6.6,0.0408985
6.7,0.0404386
6.8,0.0399839
6.9,0.0395343
7,0.0390897
7.1,0.0386501
7.2,0.0382155
7.3,0.0377858
7.4,0.0373608
7.5,0.0369407
7.6,0.0365253
7.7,0.0361146
7.8,0.0357084
7.9,0.0353069
8,0.0349099
8.1,0.0345173
8.2,0.0341291
8.3,0.0337453
8.4,0.0333658
8.5,0.0329906
8.6,0.0326196
8.7,0.0322528
8.8,0.0318901
8.9,0.0315315
9,0.0311769
9.1,0.0308263
9.2,0.0304796
9.3,0.0301369
9.4,0.029798
9.5,0.0294629
9.6,0.0291315
9.7,0.0288039
9.8,0.02848
9.9,0.0281597
10,0.0278431
10.1,0.0275299
10.2,0.0272204
10.3,0.0269142
10.4,0.0266116
10.5,0.0263123
10.6,0.0260164
10.7,0.0257238
10.8,0.0254345
10.9,0.0251485
11,0.0248657
11.1,0.0245861
11.2,0.0243096
11.3,0.0240362
11.4,0.0237659
11.5,0.0234986
11.6,0.0232344
11.7,0.0229731
11.8,0.0227147
11.9,0.0224593
12,0.0222067
12.1,0.021957
12.2,0.02171
12.3,0.0214659
12.4,0.0212245
12.5,0.0209858
12.6,0.0207498
12.7,0.0205164
12.8,0.0202857
12.9,0.0200576
13,0.019832
13.1,0.019609
13.2,0.0193885
